disease,symptoms,precautions,advice,recommended_doctor
Eczema,fever|swelling,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Epilepsy,seizures,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Fatty Liver Disease,high blood pressure|weight loss,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gout,high blood pressure|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Insomnia,anxiety,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Latex Allergy,rash,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Obesity,high blood pressure|weight loss,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Osteoarthritis,weight loss,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Peptic Ulcer,stomach pain,consult a qualified doctor|rest,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Prediabetes,high blood pressure,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Psoriatic Arthritis,swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Stroke Rehabilitation,depression,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Teen Depression,anxiety|depression,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Thyroid Diseases,swelling,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Urinary Tract Infections,fever,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Dengue,dehydration|eye pain|fever|nausea|rash|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Gastroenteritis,a hrefhttpsmedlineplus|dehydration|diarrhea|fever|headache|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
GERD,chest pain|cough|heartburn|hoarseness|shortness of breath,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
HIV,chills|fatigue|fever|rash|sore throat,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Malaria,flu-like symptoms|chills|diarrhea|fever|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Measles,cough|fever|rash|runny nose,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gallstones,nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
High Blood Pressure,high blood pressure,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
HIV: PrEP and PEP,nausea,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Living with HIV,depression,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Psychiatrist if symptoms persist, worsen, or interfere with daily life.",Psychiatrist
COVID-19 (Coronavirus Disease 2019),,consult a qualified doctor|rest,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
HIV and Infections,,consult a qualified doctor|rest,"Book a consultation with a Hematologist if symptoms persist, worsen, or interfere with daily life.",Hematologist
Osteoporosis,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Psoriasis,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Addison Disease,fatigue|weakness|weight loss,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Alzheimer's Disease,related to ad|not normal aging|another health condition|depression|hearing loss|high blood pressure|memory loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Attention Deficit Hyperactivity Disorder,may affect family|social life|a hrefhttpsmedlineplus|anxiety|depression,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Bone Infections,chills|fever|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Brain Aneurysm,a sudden|severe headache|stiff neck|loss of consciousness|signs of a a hrefhttpsmedlineplus|headache|nausea|numbness|vomiting|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
C. diff Infections,dehydration|diarrhea|fever|loss of appetite|nausea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Campylobacter Infections,abdominal pain|diarrhea|fatigue|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Hematologist if symptoms persist, worsen, or interfere with daily life.",Hematologist
Carpal Tunnel Syndrome,other treatments dont work|numbness|swelling|tingling|weakness,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cat Scratch Disease,fatigue|fever|headache,consult a qualified doctor|drink fluids|rest,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Celiac Disease,anxiety|balance problems|bloating|constipation|depression|diarrhea|fatigue|headache|joint pain|nausea|rash|swelling,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Chagas Disease,diarrhea|fatigue|fever|headache|loss of appetite|rash|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Chlamydia Infections,fever|nausea|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Chronic Lymphocytic Leukemia,fatigue|fever|weakness|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Colorectal Cancer,bloating|constipation|diarrhea|fatigue|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Crohn's Disease,bloating|diarrhea|fatigue|fever|itching|joint pain|loss of appetite|nausea|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cushing's Syndrome,fatigue|high blood pressure|weakness,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Diabetic Heart Disease,chest pain|dizziness|fainting|fatigue|high blood pressure|shortness of breath,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Digestive Diseases,abdominal pain|heartburn|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
E.coli Infections,diarrhea|fatigue|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Nephrologist if symptoms persist, worsen, or interfere with daily life.",Nephrologist
Eating Disorders,anxiety|constipation|dehydration|depression|sore throat|weakness|weight gain|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Esophagus Disorders,chest pain|cough|heartburn|shortness of breath|sore throat|swelling|wheezing,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Fifth Disease,cough|fever|headache|joint pain|rash|sore throat|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gallbladder Cancer,bloating|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Giardia Infections,diarrhea|nausea|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Hantavirus Infections,shortness of breath|abdominal pain|chills|diarrhea|dizziness|fatigue|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Hay Fever,fever|itching|sneezing,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Heart Disease in Women,anxiety|chest pain|depression|dizziness|fatigue|heartburn|high blood pressure|nausea|shortness of breath|stomach pain|vomiting,consult a qualified doctor|drink fluids|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Heart Failure,fluid buildup in your body|cough|fatigue|high blood pressure|loss of appetite|nausea|swelling|weakness|weight gain,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Heart Valve Diseases,chest pain|dizziness|fainting|fatigue|fever|high blood pressure|shortness of breath|swelling,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Helicobacter pylori Infections,bloating|nausea|weight loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Hodgkin Lymphoma,fatigue|fever|itching|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hyperthyroidism,cough|depression|diarrhea|eye pain|fatigue|high blood pressure|tremor|weakness|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Joint Disorders,dry eyes|joint pain|muscle pain|numbness|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Legionnaires' Disease,chest pain|chills|confusion|cough|diarrhea|fatigue|fever|headache|nausea|shortness of breath|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Listeria Infections,upset stomach|chills|fever|headache|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Lung Cancer,cough|fatigue|hoarseness|loss of appetite|swelling|weight loss|wheezing,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Lupus,chest pain|confusion|dizziness|fatigue|fever|headache|high blood pressure|rash|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Lyme Disease,chills|dizziness|fatigue|fever|headache|joint pain|numbness|palpitations|rash|shortness of breath|swelling|tingling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Lymphoma,chest pain|fever|swelling|weakness|weight loss,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Meningococcal Disease,chills|confusion|diarrhea|fatigue|fever|headache|nausea|rash|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Mycobacterial Infections,chills|cough|fatigue|fever|weakness|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Myelodysplastic Syndromes,fever|shortness of breath|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Norovirus Infections,body aches|dehydration|diarrhea|fever|headache|nausea|stomach pain|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Oral Cancer,ear pain|numbness|sore throat|swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ovarian Cancer,bloating|constipation|swelling,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Panic Disorder,anxiety|chest pain|chills|depression|dizziness|nausea|stomach pain|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Peripheral Nerve Disorders,constipation|diarrhea|numbness|tingling|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pneumocystis Infections,chest pain|chills|cough|fatigue|fever,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Polycystic Ovary Syndrome,anxiety|depression|high blood pressure|weight gain,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pulmonary Fibrosis,cough|fatigue|shortness of breath|weight loss,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Respiratory Failure,if you have new signs|anxiety|confusion|depression|shortness of breath,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Reye Syndrome,confusion|nausea|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Rotavirus Infections,severe a hrefhttpsmedlineplus|dehydration|diarrhea|fever|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Salmonella Infections,diarrhea|fever|headache|loss of appetite|nausea|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Sepsis,confusion|fever|shortness of breath,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Sexually Transmitted Infections,fever|frequent urination|itching,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sjogren's Syndrome,cough|fatigue|muscle pain|numbness|tingling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sleep Disorders,anxiety|depression|tingling|weakness,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Staphylococcal Infections,a high fever|cough that doesnt get better|chest pain|chills|confusion|cough|dehydration|diarrhea|fatigue|fever|nausea|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Stomach Disorders,abdominal pain|diarrhea|heartburn|vomiting|weight loss,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Temporomandibular Disorders,anxiety|back pain|dizziness|headache|hearing loss,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Thoracic Outlet Syndrome,numbness|tingling|weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Throat Disorders,cough|sore throat|swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ulcerative Colitis,pain in the abdomen|pus in diarrhea|diarrhea|joint pain|loss of appetite|weight loss,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Valley Fever,cough|fever|headache|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
West Nile Virus,diarrhea|fatigue|fever|headache|high blood pressure|numbness|rash|vomiting|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Wrist Injuries and Disorders,a decrease in wrist strength|sudden numbness|numbness|swelling|tingling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Zika Virus,usually mild|fever|joint pain|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Acne,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
HIV in Women,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,chills|fatigue|joint pain|muscle pain|sore throat,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Paget's Disease of Bone,bone pain|headache|hearing loss|weight gain,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Polio and Post-Polio Syndrome,cough|fatigue|fever|headache|joint pain|nausea|sore throat|stomach pain|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Alcohol Use Disorder (AUD),anxiety|depression|fever|nausea|seizures,consult a qualified doctor|drink fluids|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Cancer Chemotherapy,fatigue|nausea|vomiting,consult a qualified doctor|drink fluids,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Eye Diseases,eye pain|high blood pressure|swelling,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Eyelid Disorders,fatigue|itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pain Relievers,headache|nausea|stomach pain|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Period Pain,back pain|bloating|diarrhea|fatigue|fever|nausea|weight gain,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Premenstrual Syndrome,different for everyone|not severe|anxiety|bloating|constipation|depression|diarrhea|headache|joint pain|swelling|weight gain,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Prostate Diseases,chills|fever|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Uterine Diseases,bleeding after sex|a hrefhttpsmedlineplus|swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
